,Change_Volume,Change_Citations,Change_Orgs,Change_Volume_Prev_1,Change_Citations_Prev_1,Change_Orgs_Prev_1,Change_Volume_Prev_2,Change_Citations_Prev_2,Change_Orgs_Prev_2,Change_Volume_Prev_3,Change_Citations_Prev_3,Change_Orgs_Prev_3
325,-0.125,-0.12044996901207859,0.025641025641025685,0.2631578947368421,-0.12115393167554019,-0.1875,0.26666666666666666,1.0509786036095916,0.24999999999999994,-0.0625,-0.3406731040440562,-0.2242424242424242
185,0.43333333333333335,0.2505514867541906,0.09541404042599443,-0.05263157894736842,-0.35565449037941477,-0.03466286799620138,0.20253164556962025,0.18535572690135968,0.09319929036073334,0.12857142857142856,0.7993002961262483,0.0656859391036606
96,-0.03162055335968379,0.23803405757205467,-0.012105894989574725,0.29081632653061223,-0.4159312227477045,0.06935576500793879,0.07692307692307693,0.9738978654150423,0.024932614555256083,0.2465753424657534,-0.048842142878121754,-0.016959918694022733
154,0.24242424242424243,1.8746541268567436,0.21587960560456662,0.32,-0.33715777588202445,0.04723707664884133,1.2727272727272727,-0.8142263639849507,0.1507692307692308,-0.5217391304347826,3.801609137335831,-0.0939393939393939
151,-0.021164021164021163,0.5047620547507634,0.000913075237399602,0.08620689655172414,-0.10261360427649495,0.07286589176352942,0.3282442748091603,0.5936237921159696,0.18043138924364982,0.6172839506172839,0.23168694137020465,0.032659164240182635
26,-0.078125,0.07482178444579461,-0.36835158242087895,0.5900621118012422,-0.3625559310524346,0.11041259765625001,0.16666666666666666,1.3559558276876265,0.059018201875344775,0.06976744186046512,-0.4769854632795104,0.0172634271099744
71,0.3333333333333333,-0.1760415305759339,-0.030035335689045897,0.07547169811320754,-0.10400243690450145,-0.2503123906632679,0.14594594594594595,-0.30984507372687375,-0.08018867924528303,0.2937062937062937,0.9615929752826105,0.12894736842105267
127,0.232,0.41383929101627187,0.13791710681662842,0.20192307692307693,-0.04900393119991764,-0.02310112359550561,0.04,0.005749174147339159,-0.08473879062114366,0.5384615384615384,-0.15406167490943357,0.038888888888888924
194,1.0597014925373134,-0.12518963373326253,-0.05130767949358658,-0.04285714285714286,0.12042545652686285,-0.033026357573832904,0.9444444444444444,0.4796501189660071,-0.08787061994609179,-0.16279069767441862,-0.03984066930075498,-0.05514096185737977
332,0.8333333333333334,0.5808270422762525,0.09090909090909095,-0.3333333333333333,-0.24625226416531876,-0.08333333333333337,0.8,-0.11632259730187,0.11111111111111108,4.0,-0.20457270805594374,0.8
45,0.23469387755102042,-0.395874022541709,-0.10009182736455469,0.2727272727272727,0.13044941107973215,0.06384323640960819,1.0263157894736843,0.020417203463609458,-0.05480959718247855,0.08571428571428572,0.7252213165212613,0.2637698898408811
203,0.17857142857142858,0.13671832183558033,0.06690669066906699,0.2923076923076923,-0.1865623311181336,-0.35938719750195164,0.22641509433962265,0.39419392462565583,0.3089068825910932,-0.171875,-0.09568008134059876,-0.05388056798288277
114,0.00980392156862745,0.2991553489188185,-0.24710732810214128,0.07368421052631578,-0.4562701473097572,0.046003016591251875,0.25,0.07534424798780663,-0.09565217391304341,0.10144927536231885,-0.001387960361873001,-0.059388335704125245
289,0.08333333333333333,-0.6844126610378287,0.0719602977667493,0.3333333333333333,3.610701596462237,0.1625,0.2,-0.550223296139816,-0.16666666666666657,2.75,2.54890880234636,-0.11111111111111116
290,0.15384615384615385,-0.34655801977504097,-0.4101851851851852,0.08333333333333333,-0.6844126610378287,0.0719602977667493,0.3333333333333333,3.610701596462237,0.1625,0.2,-0.550223296139816,-0.16666666666666657
213,0.6176470588235294,-0.2115885090066931,0.13333333333333336,0.7894736842105263,0.2609087281077443,-0.14027149321266977,-0.05,-0.14425779444660916,0.4661654135338348,0.3333333333333333,1.1003968817362964,-0.08695652173913056
474,0.05327868852459016,-0.3201537645145204,0.0007361447050162107,0.23857868020304568,-0.1836938845772208,-0.03635642517186673,-0.07511737089201878,0.23780955346461136,0.008053127743215876,0.21714285714285714,-0.17866816324282087,-0.006615450277422058
358,1.7,-0.24238359818836863,0.11111111111111116,0.42857142857142855,1.5658022509005365,-0.12499999999999994,0.75,-0.6095154942633141,-0.23809523809523814,-0.6363636363636364,0.21212102138833303,0.26923076923076916
414,0.04921259842519685,-0.24425736573634374,0.042657270892484535,0.08547008547008547,-0.21466140851592794,-0.06828614508292849,0.11961722488038277,-0.18306521333506953,0.07270781461582146,0.022004889975550123,0.15809524839864245,0.01837100003393399
152,0.12972972972972974,-0.13179020806989114,-0.04462959907606009,-0.021164021164021163,0.5047620547507634,0.000913075237399602,0.08620689655172414,-0.10261360427649495,0.07286589176352942,0.3282442748091603,0.5936237921159696,0.18043138924364982
390,0.04331450094161959,-0.2747841328370219,-0.02627629936223471,0.1358288770053476,-0.2505352972149449,0.028123079920274626,0.09484777517564402,-0.02164699519171828,0.001716674769081225,0.05955334987593052,-0.08878396155793149,-0.05620608899297433
224,-0.24193548387096775,0.13464724548441817,-0.23305294408708568,0.5897435897435898,-0.6534459496730591,0.08193548387096773,-0.09302325581395349,1.8641287348888436,-0.11083540115798167,0.43333333333333335,0.357028082418845,0.08139534883720928
